"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Alec Pierce","IND","31.9","571.2","3.6","0.0","0.0","0.0","0.1","78.4"
"Kyle Williams","NE","44.0","574.1","3.4","2.1","8.7","0.0","0.4","78.3"
"Calvin Austin III","PIT","40.3","552.4","3.6","2.3","11.8","0.1","0.5","77.4"
"Joshua Palmer","BUF","41.8","569.1","3.3","0.0","0.5","0.0","0.1","76.5"
"Tyler Lockett","TEN","47.9","554.9","3.5","0.0","0.0","0.0","0.1","76.4"
"Jalen McMillan","TB","38.8","490.4","4.4","2.1","19.6","0.0","0.5","76.3"
"Jayden Higgins","HOU","41.4","545.7","3.4","0.7","2.5","0.0","0.4","74.1"
"Tre Tucker","LV","39.3","507.1","2.9","6.4","37.1","0.4","0.1","73.9"
"Allen Lazard","NYJ","39.7","516.5","3.5","0.0","0.0","0.0","0.1","72.7"
"DeMario Douglas","NE","51.4","541.1","2.7","2.2","15.5","0.0","0.2","71.7"
"Emeka Egbuka","TB","37.8","499.0","3.5","2.1","11.1","0.0","1.1","69.9"
"Tutu Atwell","LAR","39.6","508.9","2.5","3.6","17.2","0.1","0.1","68.0"
"Darius Slayton","NYG","34.4","521.8","2.5","1.4","6.1","0.0","0.2","67.7"
"DeAndre Hopkins","BAL","34.0","437.1","4.0","0.0","0.5","0.0","0.1","67.5"
"Marquez Valdes-Scantling","SEA","29.0","485.1","3.0","2.6","9.0","0.1","0.1","67.3"
"Nick Westbrook-Ikhine","MIA","30.3","417.4","3.6","0.0","0.0","0.0","0.1","63.4"
"Jalen Tolbert","DAL","34.7","420.4","3.6","0.0","0.0","0.0","0.1","63.3"
"Jalen Nailor","MIN","34.0","421.4","3.3","0.1","6.2","0.0","0.1","62.4"
"Jordan Whittington","LAR","37.4","440.9","2.7","2.2","18.8","0.1","0.2","62.4"
"Jalen Coker","CAR","37.0","477.6","2.3","0.0","2.3","0.0","0.1","61.7"
"Dyami Brown","JAC","36.1","467.1","2.4","0.7","5.8","0.0","0.5","61.1"
"Diontae Johnson","CLE","38.8","476.9","2.3","1.0","2.0","0.0","0.5","61.0"
"Dontayvion Wicks","GB","31.6","399.9","3.4","0.0","0.0","0.0","0.1","60.5"
"Ray-Ray McCloud III","ATL","39.2","427.9","2.3","7.8","51.2","0.2","1.2","60.4"
"Adonai Mitchell","IND","28.7","411.3","2.7","2.5","15.9","0.1","0.2","59.2"
"Brandin Cooks","NO","35.6","418.0","2.8","1.7","3.8","0.0","0.1","58.6"
"Noah Brown","WAS","32.7","417.1","2.0","0.0","0.0","0.0","0.1","53.2"
"A.T. Perry","DEN","27.6","355.2","2.9","0.0","0.0","0.0","0.0","53.1"
"Josh Reynolds","NYJ","28.7","374.8","2.6","0.0","0.0","0.0","0.1","52.6"
"Andrei Iosivas","CIN","27.9","338.4","3.1","0.0","0.0","0.0","0.1","52.0"
"Troy Franklin","DEN","27.7","346.8","2.7","1.1","5.8","0.0","0.1","51.5"
"Pat Bryant","DEN","28.3","350.6","2.7","0.0","0.0","0.0","0.1","50.8"
"Kyle Philips","LV","32.8","387.2","2.0","0.0","0.0","0.0","0.0","50.7"
"Skyy Moore","KC","31.4","357.5","2.3","0.0","0.0","0.0","0.0","49.6"
"Curtis Samuel","BUF","30.3","304.6","2.5","6.6","29.3","0.1","0.1","49.1"
"Tim Patrick","DET","25.4","323.2","2.4","0.0","0.0","0.0","0.1","46.6"
"K.J. Osborn","WAS","28.4","314.7","2.5","0.0","0.0","0.0","0.0","46.2"
"Jaylin Noel","HOU","27.8","332.4","2.2","0.0","0.0","0.0","0.1","46.1"
"Anthony Miller","BAL","25.1","289.3","2.5","0.0","0.0","0.0","0.0","44.1"
"Greg Dortch","ARI","28.2","274.9","2.1","4.8","30.6","0.1","0.4","43.1"
"Kayshon Boutte","NE","22.8","305.0","2.0","0.0","0.0","0.0","0.0","42.4"
"Chimere Dike","TEN","23.2","302.4","1.8","2.1","12.3","0.0","0.1","42.4"
"Demarcus Robinson","SF","18.5","288.5","2.2","0.0","1.0","0.0","0.1","41.9"
"Christian Watson","GB","15.9","292.7","1.9","2.7","13.2","0.0","0.4","41.7"
"Malik Washington","MIA","27.2","290.7","1.8","2.0","13.8","0.1","0.6","40.6"
"Malachi Corley","NYJ","25.7","275.2","1.6","2.3","25.1","0.1","0.1","39.9"
"KaVontae Turpin","DAL","17.9","230.7","1.5","8.5","58.5","0.5","0.7","39.8"
"Xavier Hutchinson","HOU","26.1","283.0","1.9","0.0","0.0","0.0","0.0","39.7"
"Russell Gage Jr.","SF","25.1","280.8","1.9","0.0","0.0","0.0","0.0","39.7"
"Van Jefferson","TEN","22.6","287.6","1.8","0.0","0.0","0.0","0.1","39.4"
"Roman Wilson","PIT","22.4","282.9","1.7","0.0","0.0","0.0","0.1","38.1"
"Elic Ayomanor","TEN","23.1","273.3","1.7","0.0","5.0","0.0","0.1","37.9"
"Kendrick Bourne","NE","23.5","270.5","1.7","1.1","5.2","0.0","0.1","37.6"
"Jermaine Burton","CIN","19.3","255.6","1.8","0.0","2.0","0.0","0.1","36.4"
"Tyler Johnson","NYJ","23.2","256.9","1.7","0.0","0.0","0.0","0.0","36.1"
"Robert Woods","PIT","24.8","264.8","1.6","0.0","0.0","0.0","0.1","36.0"
"Luke McCaffrey","WAS","23.5","250.8","1.7","0.0","1.3","0.0","0.1","35.2"
"Tai Felton","MIN","20.1","240.9","1.8","0.0","5.0","0.0","0.0","35.1"
"Kalif Raymond","DET","20.4","253.8","1.7","0.0","4.0","0.0","0.6","34.7"
"Rondale Moore","MIN","21.3","217.6","1.4","8.6","38.2","0.0","0.1","34.1"
"Devaughn Vele","DEN","22.3","239.5","1.6","0.0","0.8","0.0","0.1","33.7"
"Jalen Royals","KC","19.3","228.9","1.8","0.0","0.0","0.0","0.0","33.6"
"Jahan Dotson","PHI","20.4","238.9","1.6","0.0","1.7","0.0","0.1","33.3"
"Dont'e Thornton Jr.","LV","18.8","239.9","1.4","0.0","6.0","0.0","0.0","33.1"
"Jalin Hyatt","NYG","17.8","249.6","1.3","0.0","0.0","0.0","0.1","32.4"
"Parker Washington","JAC","21.0","240.2","1.4","0.0","2.7","0.0","0.2","32.1"
"Treylon Burks","TEN","18.6","232.8","1.4","1.0","5.5","0.0","0.0","32.0"
"Jake Bobo","SEA","18.9","219.0","1.5","0.0","0.0","0.0","0.1","30.8"
"David Sills","ATL","18.7","208.3","1.6","0.0","0.0","0.0","0.0","30.2"
"Hunter Renfrow","CAR","22.4","222.9","1.3","0.0","0.0","0.0","0.0","30.1"
"Jaylin Lane","WAS","17.3","203.4","1.3","2.1","12.9","0.1","0.1","29.9"
"Elijah Moore","BUF","19.3","208.6","1.4","0.0","1.7","0.0","0.1","29.1"
"JuJu Smith-Schuster","KC","19.3","204.9","1.3","0.0","0.0","0.0","0.1","28.4"
"Zay Jones","ARI","18.6","198.0","1.4","0.0","2.0","0.0","0.1","28.2"
"Cedrick Wilson Jr.","NO","17.0","200.8","1.3","0.0","0.0","0.0","0.0","28.0"
"Isaac TeSlaa","DET","15.2","194.9","1.3","0.0","0.0","0.0","0.0","27.1"
"Tory Horton","SEA","16.1","198.8","1.1","0.0","0.0","0.0","0.0","26.5"
"Savion Williams","GB","13.1","157.6","1.3","2.2","16.7","0.1","0.0","25.3"
"Mack Hollins","NE","13.1","164.6","1.3","0.0","0.0","0.0","0.1","24.2"
"Olamide Zaccheaus","CHI","14.9","160.5","1.1","1.1","5.3","0.0","0.1","23.5"
"Ja'Lynn Polk","NE","14.3","168.0","1.1","0.0","0.0","0.0","0.0","23.4"
"Irvin Charles","NYJ","14.7","164.3","1.0","0.0","0.0","0.0","0.0","22.5"
"Tez Johnson","TB","13.0","159.0","1.0","0.0","4.0","0.0","0.0","22.3"
"Bub Means","NO","13.5","170.1","0.9","0.7","3.5","0.0","0.4","22.0"
