"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Mitchell Trubisky","BUF","28.1","17.7","197.3","1.3","0.7","5.5","13.3","0.2","0.1","14.6"
"Jacoby Brissett","ARI","31.2","20.6","214.5","1.1","0.7","4.2","18.0","0.1","0.2","14.3"
"Taylor Heinicke","LAC","33.6","21.0","214.0","1.2","0.9","4.3","17.0","0.1","0.3","14.3"
"Jarrett Stidham","DEN","29.8","19.2","202.7","1.3","0.7","4.5","16.3","0.1","0.2","14.3"
"Tanner McKee","PHI","26.3","17.2","197.1","1.2","0.6","5.0","14.3","0.1","0.1","14.1"
"Aidan O'Connell","LV","35.0","22.6","235.0","1.3","0.7","2.9","7.5","0.0","0.5","13.9"
"Hendon Hooker","DET","28.3","18.8","204.7","1.3","0.7","3.5","11.9","0.1","0.2","13.8"
"Case Keenum","CHI","30.6","19.0","199.2","1.3","0.6","3.0","8.9","0.1","0.3","13.6"
"Cooper Rush","BAL","26.9","17.5","196.6","1.4","0.6","6.1","14.4","0.1","0.6","13.4"
"Davis Mills","HOU","30.6","19.3","207.7","1.2","0.7","2.8","10.2","0.0","0.2","13.4"
"Andy Dalton","CAR","30.9","20.2","203.5","1.1","1.0","2.8","10.0","0.0","0.1","12.5"
"Drew Lock","SEA","18.8","12.3","147.7","0.8","0.7","2.6","11.1","0.0","0.1","9.7"
"Stetson Bennett","LAR","0.0","0.0","96.0","0.5","0.5","0.0","9.0","0.0","0.0","6.2"
"Tyson Bagent","CHI","7.7","4.7","83.8","0.5","0.3","1.7","10.8","0.0","0.0","6.2"
"Desmond Ridder","CIN","0.0","0.0","97.0","0.5","0.5","0.0","4.0","0.0","0.0","5.8"
"Josh Johnson","WAS","7.0","5.0","81.8","0.5","0.3","1.7","5.8","0.0","0.0","5.6"
"Trey Lance","LAC","7.0","4.3","82.8","0.3","0.3","1.3","14.0","0.0","0.0","5.5"
"Quinn Ewers","MIA","9.0","6.0","63.0","0.5","0.0","1.0","4.5","0.0","0.0","5.0"
"Cam Miller","LV","9.0","6.0","62.0","0.5","0.0","1.0","3.5","0.0","0.0","4.8"
"Graham Mertz","HOU","8.5","5.5","60.0","0.5","0.0","1.0","4.0","0.0","0.0","4.8"
"Kyle McCord","PHI","6.5","4.5","51.5","0.5","0.0","1.5","7.0","0.0","0.0","4.8"
"Will Howard","PIT","8.0","5.0","57.0","0.5","0.0","1.0","4.0","0.0","0.0","4.7"
"Clayton Tune","ARI","6.3","4.3","68.8","0.5","0.3","1.7","3.5","0.0","0.3","4.2"
"Riley Leonard","IND","7.5","4.0","52.0","0.5","0.5","1.0","5.0","0.0","0.0","4.1"
"Jake Haener","NO","7.3","4.3","45.7","0.3","0.3","1.7","7.7","0.0","0.0","3.6"
